Barcode,Fila,ID,Nombre,PrecioA,PrecioB,Problema
"7,70235E+12",5687,12827,GELATINA FRUTIÑO PIÑA LINE 11GR,2200,2070,Duplicado 199/209
"7,70235E+12",5695,12836,SHAMPOO NUTRIBELA 400ML MAS NUTRIBELA 300ML,31500,0,Duplicado 200/209
"7,70235E+12",5745,12886,SHAMPOO NUTRIBELA BIOKERATINA  18ML,1000,0,Duplicado 201/209
"7,70235E+12",5747,12888,ACONDICIONADOR NUTRIBELA BIOKERATINA 370ML,19500,19000,Duplicado 202/209
"7,70235E+12",5748,12889,SHAMPOO NUTRIBELA BIOKERATINA 400ML,19500,19000,Duplicado 203/209
"7,70235E+12",5763,12904,NUTRIBELA NUTRIVION 27ML,1500,0,Duplicado 204/209
"7,70235E+12",5768,12909,NUTRIBELA PRO HIALURONICO 27ML,1500,0,Duplicado 205/209
"7,70235E+12",5776,12917,SHAMPOO Y ACONDICIONADOR NUTRIBELLA MAS TRATAMIENT,47500,0,Duplicado 206/209
"7,70235E+12",5786,12927,SHAMPOO ACONDICIONADOR Y TRATAMIENTO NUTRIBELLA ,47500,0,Duplicado 207/209
"7,70235E+12",5795,12936,FRUTIÑO MANGO DULCE 10GR,1000,890,Duplicado 208/209
"7,70235E+12",5848,12989,NUTRIBELA BIOKERATINA 450ML,21000,20200,Duplicado 209/209

"7,70237E+12",228,1000,ATUN VAN CAMPS LOMITOS 160GR,6900,6800,Duplicado 1/2
"7,70237E+12",941,6126,ATUN LOMITO VAN CAMPS AGUA ,6900,6800,Duplicado 2/2

"7,70238E+12",34,146,BETUM BUFALO PASTA NEGRO 15GR,2200,2100,Duplicado 1/23
"7,70238E+12",35,147,BETUM BUFALO  PASTA NEGRO 36GR,5000,4800,Duplicado 2/23
"7,70238E+12",155,712,SHAMPOO NATURALEZA Y VIDA NEGRO  300ML,19000,0,Duplicado 3/23
"7,70238E+12",316,1372,SHAMPO NATURALEZA Y VIDA RUBIOS 300ML,13500,0,Duplicado 4/23
"7,70238E+12",317,1373,MASCARILLA NATURALEZA Y VIDA NEGROS 300ML,25500,0,Duplicado 5/23
"7,70238E+12",582,3201,BETUM BUFALO AUTO BRILLO LIQUIDO  60ML,6200,6000,Duplicado 6/23
"7,70238E+12",841,5454,BETUN BUFALO MARRON 36GR,4000,3850,Duplicado 7/23
"7,70238E+12",981,6384,BETUM BUFALO AUTOBRILLO LIQUIDO NEGRO 60ML,6200,6000,Duplicado 8/23
"7,70238E+12",1974,8835,NATURALEZA Y VIDA TRATAMIENTO 300ML,18000,0,Duplicado 9/23
"7,70238E+12",2548,9419,MASCARILLA RUBIO NATURALEZA Y VIDA 300ML,22000,0,Duplicado 10/23
"7,70238E+12",2959,10024,RESTAURADOR CUBRE RASGUÑO BUFALO 360ML,16100,15700,Duplicado 11/23
"7,70238E+12",2960,10025,BETUM BUFALO MARRON 15GR ,2100,2000,Duplicado 12/23
"7,70238E+12",2961,10026,CERA BUFALO ROJA 400CM,8500,8150,Duplicado 13/23
"7,70238E+12",2962,10027,CERA BUFALO EMULSIONADA BLANCA 400CM,3600,3450,Duplicado 14/23
"7,70238E+12",3233,10312,SHAMPO NATUVITAL SILVER 300ML,18500,0,Duplicado 15/23
"7,70238E+12",3329,10517,CERA NEUTRA NETTUNO 350ML,5300,5150,Duplicado 16/23
"7,70238E+12",3436,10518,CERA ROJA NETTUNO 350ML,5000,4800,Duplicado 17/23
"7,70238E+12",3446,10519,CERA BUFALO ESCARLATA 400ML,8500,8150,Duplicado 18/23
"7,70238E+12",4672,11798,COMBO SHAMPOO Y MASCARILLA NEGRA  300ML NATURVITAL,31000,0,Duplicado 19/23
"7,70238E+12",4699,11825,CERA ESCARLATA NETTUNO 350GR,5000,4800,Duplicado 20/23
"7,70238E+12",5599,12739,BETUM LIQUIDO PROTEKTOR NEGRO 60ML,4800,4500,Duplicado 21/23
"7,70238E+12",5600,12740,BETUM LIQUIDO PROTEKTOR BLANCO 60ML,4800,4500,Duplicado 22/23
"7,70238E+12",5601,12741,BETUM LIQUIDP PROTEKTO 60ML,4800,4500,Duplicado 23/23

"7,70241E+12",3836,10942,AZUCAR MANUELITA 1KG,4300,4240,Duplicado 1/3
"7,70241E+12",3899,11008,AZUCAR MANUELITA 2.500GR,9600,0,Duplicado 2/3
"7,70241E+12",4267,11395,AZUCAR MANUELITA 500GR,2000,0,Duplicado 3/3

"7,70243E+12",77,9743,PROTECTORES KOTEX X150 CON INDICADOR PH,12800,12200,Duplicado 1/45
"7,70243E+12",100,491,HUGGIES MANITAS Y CARITAS 80UNID,7900,7600,Duplicado 2/45
"7,70243E+12",108,553,KOTEX X15 PROTECTORES,2400,2300,Duplicado 3/45
"7,70243E+12",209,919,SCOTT DURAMAX REUTILIZABLE X3UNID,26500,0,Duplicado 4/45
"7,70243E+12",360,1811,DURAMAX SCOTT REUTILIZABLE 58,11000,10700,Duplicado 5/45
"7,70243E+12",428,2264,KOTEX X30 NOCTURNA,19600,16200,Duplicado 6/45
"7,70243E+12",429,2265,KOTEX NOCTURNAS X8,6700,6500,Duplicado 7/45
"7,70243E+12",649,4063,SCOTT CUIDADO COMPLETO ,1900,0,Duplicado 8/45
"7,70243E+12",718,9818,HUGGIES XTRA PROTECCION 4X25,23200,22600,Duplicado 9/45
"7,70243E+12",806,5177,KOTEX DISCRETA 10U 15 PROT,6000,0,Duplicado 10/45
"7,70243E+12",867,5613,KOTEX DIA Y NOCHE 8UND,4300,4000,Duplicado 11/45
"7,70243E+12",875,5648,KOTEX X16 NOCTURNA,10900,10500,Duplicado 12/45
"7,70243E+12",1111,9594,PAÑITOS HUGGIES MANITAS Y CARITAS X48UNID,4800,4600,Duplicado 13/45
"7,70243E+12",1215,9819,HUGGIES TRIPLE PROTECCION G/3 X25UNID,19000,18300,Duplicado 14/45
"7,70243E+12",1224,7652,multi absorb,2800,0,Duplicado 15/45
"7,70243E+12",1250,7809,KOTEX NORMAL ALAS 10UND,6000,5800,Duplicado 16/45
"7,70243E+12",1362,8223,PROTECTORES 150U KOTEX,12800,12200,Duplicado 17/45
"7,70243E+12",1590,8451,HUGGIES TOALLA HUMEDA 16UND,2400,0,Duplicado 18/45
"7,70243E+12",1600,8461,HUGGIES 3X20,16000,0,Duplicado 19/45
"7,70243E+12",1601,8462,HUGGIES 4X20,20000,0,Duplicado 20/45
"7,70243E+12",1618,8479,SCOTT CUIDADO COMPLETO 4UNID,6500,6250,Duplicado 21/45
"7,70243E+12",1620,8481,SCOTT RINDE MAX,1100,984,Duplicado 22/45
"7,70243E+12",1628,8489,KOTEX PROTECTORES 15,2000,1900,Duplicado 23/45
"7,70243E+12",2216,9053,TOALLIN SCOTT X3UNID ABSORB ,6600,6400,Duplicado 24/45
"7,70243E+12",2229,9066,DURAMAX MULTIUSO SCOTT X7UNID,4200,0,Duplicado 25/45
"7,70243E+12",2347,9182,SCOTT DURAMAX REUTILIZABLE X58UNID,12000,0,Duplicado 26/45
"7,70243E+12",2615,9820,HUGGIES TRIPLE PROTECCION M/2 X25UNID,15300,14900,Duplicado 27/45
"7,70243E+12",2684,9822,KOTEX ESENCIAL X8UNID,2800,2680,Duplicado 28/45
"7,70243E+12",2702,9542,SCOTT RINDEMAX X18UNID,18500,0,Duplicado 29/45
"7,70243E+12",2829,9918,KOTEX CUIDADO AVANZADO 6 MAS 6 ,5300,5150,Duplicado 30/45
"7,70243E+12",2985,10085,KOTEX PROTECTORES X15 IDICADOR PH,1800,1700,Duplicado 31/45
"7,70243E+12",3034,10203,SCOTT CUIDADO COMPLETO X12UNID,16800,16300,Duplicado 32/45
"7,70243E+12",3425,10491,SCOTT 2 EN 1 SUAVE X12UNID,13500,13000,Duplicado 33/45
"7,70243E+12",3490,10628,HUGGIES XXG /5  X25UNID,25500,24700,Duplicado 34/45
"7,70243E+12",3698,10796,SCOTT 2 EN 1  X2UNID,2600,2500,Duplicado 35/45
"7,70243E+12",4402,11534,DURAMAX SCOTT REUTILIZABLE 46HOJA,8000,7800,Duplicado 36/45
"7,70243E+12",4406,11538,HUGGUIES 3X25,20700,0,Duplicado 37/45
"7,70243E+12",4887,12014,KOTEX NOCTURNA X16UNID,11600,11200,Duplicado 38/45
"7,70243E+12",4890,12017,KOTEX NOCTURNA X24,15500,15000,Duplicado 39/45
"7,70243E+12",5076,12209,HUGGIES TRIPLE PROTECCION XG X25UNID,21000,20300,Duplicado 40/45
"7,70243E+12",5240,12378,SCOTT 2 EN 1 X4UNID,5400,5200,Duplicado 41/45
"7,70243E+12",5306,12445,PAÑITOS HUGGIES PROTECCION X80UNID ,4500,4300,Duplicado 42/45
"7,70243E+12",5308,12447,KOTEX DISCRETA X10UNID,3600,3400,Duplicado 43/45
"7,70243E+12",5676,12816,SCOTT RINDEMAX ,1100,984,Duplicado 44/45
"7,70243E+12",5827,12968,KOTEX NORMAL CORIS X10UNI,4000,3850,Duplicado 45/45

"7,70244E+12",369,1915,SALSA BBQ BARY 110GR,1800,1650,Duplicado 1/70
"7,70244E+12",556,9623,SALSA BARY HARDYS 90GR,1200,1100,Duplicado 2/70
"7,70244E+12",782,5024,SALSA BBQ BARY 170GR,3300,3150,Duplicado 3/70
"7,70244E+12",849,9639,MANI POLLO BARY,1800,0,Duplicado 4/70
"7,70244E+12",915,9797,SALSAS BARY X3UNID,8000,0,Duplicado 5/70
"7,70244E+12",1191,7568,MAYONESA BARY 100GR,1900,1800,Duplicado 6/70
"7,70244E+12",1192,7569,SALSA TOMATE BARY 170GR,2700,2560,Duplicado 7/70
"7,70244E+12",1193,7571,SALSA TOMATE BARY 120GR,1900,1800,Duplicado 8/70
"7,70244E+12",1229,7701,MAYONESA BARY 400GR,7700,7500,Duplicado 9/70
"7,70244E+12",1231,7706,MAYONESA BARY 200GR,2700,2560,Duplicado 10/70
"7,70244E+12",1235,7739,Bary Mani con Pasas,9200,0,Duplicado 11/70
"7,70244E+12",1236,7740,MANI BARY CON SAL 35GR,1600,0,Duplicado 12/70
"7,70244E+12",1239,7743,SALSA MOSTAZA BARY 140GR,2600,2480,Duplicado 13/70
"7,70244E+12",1249,7799,SALSA QUESO CHEDDAR BARY 200GR,7000,6800,Duplicado 14/70
"7,70244E+12",1253,7818,SALSA ROSADA BARY 140GR,2200,2100,Duplicado 15/70
"7,70244E+12",1256,7833,MAYONESA BARY 1000GR,14800,14400,Duplicado 16/70
"7,70244E+12",1262,7869,MOSTAZA BARY 110GR,2100,2000,Duplicado 17/70
"7,70244E+12",1264,7873,MANI BARY LIMON 35GR,1800,0,Duplicado 18/70
"7,70244E+12",1269,7913,COMPOTA HIT MANZANA 90GR,2000,1850,Duplicado 19/70
"7,70244E+12",1270,7914,COMPOTA HIT SABOR A PERA 90GR,2000,1850,Duplicado 20/70
"7,70244E+12",1282,7986,SALSA DE SOYA BARY PROFECIONAL 1165ML,9600,9300,Duplicado 21/70
"7,70244E+12",1307,8103,MANY BARY CROCANTE 20GR,800,717,Duplicado 22/70
"7,70244E+12",1308,8104,SALSA HARDYS 130GR,1000,0,Duplicado 23/70
"7,70244E+12",1484,8345,SALSA PARA CARNE BARY PROFESIONAL 1.275GR,10300,10000,Duplicado 24/70
"7,70244E+12",1485,8346,SALSA CHINA BARY PROFESIONAL 1.160ML,8500,8200,Duplicado 25/70
"7,70244E+12",1492,8353,MAYONESA BARY 160GR,2700,2560,Duplicado 26/70
"7,70244E+12",1516,8377,SALSA CON SABOR A HUMO BARY 155ML,2000,0,Duplicado 27/70
"7,70244E+12",1518,8379,SALSA INGLESA BARY 155ML,3400,3250,Duplicado 28/70
"7,70244E+12",1520,8381,SALSA PARA CARNES BARY 175GR,3900,3750,Duplicado 29/70
"7,70244E+12",1523,8384,SALSA SOYA BARY 155ML,3000,2870,Duplicado 30/70
"7,70244E+12",1578,8439,SALSA ROSADA BARY 100GR,1800,1670,Duplicado 31/70
"7,70244E+12",1711,8572,MAYONESA BARY 150GR,2600,2450,Duplicado 32/70
"7,70244E+12",1739,8600,MANI LIMON BARY 150GR,4500,0,Duplicado 33/70
"7,70244E+12",1753,8614,MANI CON PASAS BARY X8UNID 280GR,9200,0,Duplicado 34/70
"7,70244E+12",1754,8615,MANI CON SAL BARY X8UNID  280GR ,11600,0,Duplicado 35/70
"7,70244E+12",1755,8616,MANI CROCANTE BARY X12UNID   240GR,8600,0,Duplicado 36/70
"7,70244E+12",1824,8685,ESENCIA DE VAINILLA BARY 155ML,3400,0,Duplicado 37/70
"7,70244E+12",2128,9331,SALSA DE TOMATE BARY 80GR,900,767,Duplicado 38/70
"7,70244E+12",2430,9265,MAYONESA BARY 80GR,900,767,Duplicado 39/70
"7,70244E+12",2521,9385,MANY CON SAL BARY 180GR,5100,4950,Duplicado 40/70
"7,70244E+12",2560,9406,MANI CROCANTE BARY 120GR,3400,3250,Duplicado 41/70
